tenid,region,longitude,latitude
CML1200448 ,South West,116.31438721709762,-33.395339175671346
CML1200449 ,South West,116.30769587085597,-33.42676978294131
CML1200450 ,South West,116.3145979440529,-33.42239282970541
CML1200451 ,South West,116.32149884692669,-33.41801715632256
CML1200452 ,South West,116.32839953759375,-33.41364164467264
CML1200453 ,South West,116.31812878111764,-33.43834172150819
CML1200454 ,South West,116.32502858110678,-33.433962934988664
CML1200455 ,South West,116.33193073792272,-33.42958916846935
CML1200456 ,South West,116.3388329243884,-33.42521460541016
CML1200457 ,South West,116.34313265315576,-33.41945752161418
CML1200458 ,South West,116.32165576389015,-33.45428493329548
CML1200459 ,South West,116.32855878012809,-33.44990887369604
CML1200460 ,South West,116.33546169828287,-33.44553392045889
CML1200461 ,South West,116.34236433563801,-33.44115966347549
CML1200462 ,South West,116.34926625714364,-33.43678519735984
CML1200463 ,South West,116.32687745602769,-33.469109935791224
CML1200464 ,South West,116.33211929358507,-33.46574869589431
CML1200465 ,South West,116.3389966141164,-33.46148363166556
CML1200466 ,South West,116.34530930507455,-33.45445054279984
CML1200514 ,South West,116.32050552717953,-33.40281694656615
CML1200515 ,South West,116.335462886921,-33.410883584340944
CML1200532 ,South West,116.31295440069488,-33.44162581160492
CML1200537 ,South West,116.30079467597909,-33.43114580431349
CML1200633 ,South West,116.20633419540184,-33.34090113990072
CML1200634 ,South West,116.20633381997364,-33.33540214726815
CML1200635 ,South West,116.21107984821403,-33.346207212305615
CML1200636 ,South West,116.22236560570273,-33.34002127039519
CML1200637 ,South West,116.25542102114153,-33.36706669367202
CML1200638 ,South West,116.26865138377873,-33.367179844960006
CML1200639 ,South West,116.26851433924256,-33.37427754062411
CML1200640 ,South West,116.2584831370298,-33.37376909731004
CML1200642 ,South West,116.22236486201989,-33.332768527298555
CML1200643 ,South West,116.24432577815232,-33.36652008570584
CML1200644 ,South West,116.2528489777787,-33.371872928062075
CML1200645 ,South West,116.23941293614216,-33.37327386662039
CML1200648 ,South West,116.23607159708307,-33.366544658491215
CML1200651 ,South West,116.20729309164008,-33.360217957543696
CML1200652 ,South West,116.20450937661651,-33.36759722655823
CML1200661 ,South West,116.21726814914977,-33.380368751682134
CML1200680 ,South West,116.25330022266978,-33.361092550847346
CML1200681 ,South West,116.26255669031947,-33.36108666494987
CML1200682 ,South West,116.26219828159009,-33.35612823080154
CML1200704 ,South West,116.24223315130747,-33.398393437474546
E  0402213 ,Kimberley,123.60799370403838,-16.108800853034626
CML1200705 ,South West,116.2339814727724,-33.39620985564664
CML1200706 ,South West,116.22660038945428,-33.40376815559819
CML1200707 ,South West,116.22661637605776,-33.391618973389185
CML1200708 ,South West,116.21753962161388,-33.390838096602046
CML1200709 ,South West,116.20923000546335,-33.38965581568017
CML1200710 ,South West,116.20172838144006,-33.374975517537266
CML1200711 ,South West,116.19894282421862,-33.38235165852633
CML1200712 ,South West,116.19615738492108,-33.389736333287345
CML1200713 ,South West,116.18624442942894,-33.37087303327725
CML1200714 ,South West,116.18346937876781,-33.378248534965884
CML1200715 ,South West,116.18068655306112,-33.38562857002938
CML1200718 ,South West,116.16542167434356,-33.38136351416697
CML1200744 ,South West,116.20440040224345,-33.348292643980486
CML1200745 ,South West,116.21241927878302,-33.35242219316508
CML1200746 ,South West,116.22319445418522,-33.34481915314765
CML1200747 ,South West,116.22113830038839,-33.35717508057743
CML1200748 ,South West,116.23395493516811,-33.3588279538031
CML1200749 ,South West,116.24797659562645,-33.35754557481278
CML1200750 ,South West,116.23051325763007,-33.37380623906037
CML1200751 ,South West,116.22693495203852,-33.34922812309608
CML1200752 ,South West,116.23906849446712,-33.34912281168453
CML1200753 ,South West,116.25050208375741,-33.349120640700804
CML1200754 ,South West,116.22248006938241,-33.36653078567499
CML1200755 ,South West,116.21987448277915,-33.373450952631394
CML1200756 ,South West,116.23162946125356,-33.34001977200826
CML1200774 ,South West,116.28895224563101,-33.42803829554145
CML1200775 ,South West,116.29617595390869,-33.43704353787814
CML1200844 ,South West,116.26110636239585,-33.35037597657136
CML1200845 ,South West,116.26956539643773,-33.35219826156151
E  0100003 ,South West,116.03024061549554,-33.81077518155762
E  0401131 ,Kimberley,123.61398392576073,-16.09407733318292
E  0401169 ,Kimberley,124.50795016791082,-16.976927293081655
E  0401266 ,Kimberley,123.74928409448444,-16.127431995155863
E  0401441 ,Kimberley,123.98499865226486,-16.395007313614755
E  0401519 ,Kimberley,124.56834673001084,-18.132612951049396
E  0401589 ,Kimberley,123.53738420594202,-16.02873072170569
E  0402214 ,Kimberley,123.61306847887028,-16.083054276883363
E  0401610 ,Kimberley,122.25752546585201,-19.185742860306796
E  0401649 ,Kimberley,125.77902584296803,-18.12790895886331
E  0401770 ,Kimberley,124.63849386111305,-18.078165745278074
E  0401893 ,Kimberley,125.84440172319809,-18.641206603701022
E  0401894 ,Kimberley,125.84166551086722,-18.605952068682967
E  0401936 ,Kimberley,125.33106487414368,-17.798488139210146
E  0401972 ,Kimberley,124.40939284531544,-16.86528407580032
E  0402297 ,Kimberley,124.01489232553402,-16.766347598312297
E  0402486 ,Kimberley,124.91666693551923,-17.275000487704624
E  0401998 ,Kimberley,123.58393449803718,-18.169741425385165
E  0402028 ,Kimberley,123.61875005373375,-16.502079156037205
E  0402060 ,Kimberley,124.55181750014222,-16.962704048559395
E  0402083 ,Kimberley,122.95881402885193,-17.486183425338208
E  0402084 ,Kimberley,122.88240755516125,-17.410180649501957
E  0402085 ,Kimberley,124.90662853308217,-17.2268591559711
E  0402142 ,Kimberley,124.4416675282786,-16.93333355914452
E  0402171 ,Kimberley,123.09676675256775,-17.635193093627343
E  0402299 ,Kimberley,124.66768891396131,-16.97950441238653
E  0402315 ,Kimberley,124.19852792516141,-16.606367729193135
E  0402317 ,Kimberley,125.36666849720763,-17.775001057609618
P  4502899 ,Pilbara,119.1465637125851,-20.28743662098023
E  0402325 ,Kimberley,124.7406228893691,-17.013850032302653
E  0402327 ,Kimberley,125.32869421344584,-17.43703973627185
E  0402332 ,Kimberley,124.42149242169971,-16.417978294633894
E  0402334 ,Kimberley,125.78434268733368,-18.14979595395487
E  0402337 ,Kimberley,123.50833326501753,-16.058329919120865
E  0402356 ,Kimberley,125.77499445242563,-18.39999555689953
E  0402390 ,Kimberley,123.88948043592193,-17.36052253600653
P  4502912 ,Pilbara,118.44169694248242,-20.439470085644512
E  0402398 ,Kimberley,124.89459938106702,-17.71812980214281
E  0402404 ,Kimberley,124.84989866616898,-17.64517272076081
E  0402405 ,Kimberley,124.59166739253106,-16.991667316924477
E  0402407 ,Kimberley,124.14166625382181,-16.62499996289385
E  0402408 ,Kimberley,125.38899569567145,-17.50464122471698
E  0402409 ,Kimberley,124.0453714877304,-16.449071324406006
E  0402411 ,Kimberley,124.18241390105308,-16.545370007013105
P  4502913 ,Pilbara,118.45512817268194,-20.456269630809672
E  0402430 ,Kimberley,123.09299858431301,-17.722908039305604
E  0402431 ,Kimberley,123.0545277892569,-17.76927828099841
P  4502914 ,Pilbara,118.46983691219639,-20.47321422201559
E  0402422 ,Kimberley,123.54797258735249,-17.685880333073953
E  0402423 ,Kimberley,124.24433427879711,-16.83900750454205
E  0402425 ,Kimberley,125.2648104177606,-17.528709441581732
E  0402426 ,Kimberley,124.92833561402168,-17.744998831672007
E  0402428 ,Kimberley,123.71666696246507,-18.216666744640342
E  0402438 ,Kimberley,124.73333475895119,-17.240154107928777
E  0402440 ,Kimberley,124.74424079063752,-17.178214655617435
E  0402451 ,Kimberley,125.09046237211815,-17.407705832644975
E  0402456 ,Kimberley,122.8500059713866,-17.816669993464764
E  0402462 ,Kimberley,125.13333368728311,-17.44166706427296
E  0402465 ,Kimberley,126.00044397813971,-18.221489027855018
E  0402471 ,Kimberley,125.38055601935996,-17.76018703471238
E  0402478 ,Kimberley,123.84166610042372,-17.37291825106112
E  0402481 ,Kimberley,125.99920762516618,-18.707917601885622
E  0402485 ,Kimberley,124.73676872060969,-17.108824576397723
E  0402487 ,Kimberley,124.97789564557903,-17.4018138993745
E  0402494 ,Kimberley,122.86450704755458,-17.877466576056634
E  0402508 ,Kimberley,124.00407659772101,-16.56720707981486
E  0402509 ,Kimberley,122.8916676325942,-17.475000547564214
E  0402527 ,Kimberley,125.36999268648553,-17.426668633594396
E  0402529 ,Kimberley,125.84028189559048,-17.508342399504453
E  0402530 ,Kimberley,124.24780818120985,-16.736966840923355
E  0402540 ,Kimberley,122.9611099364981,-17.990741172596014
E  0803695 ,Pilbara,115.474999994539,-21.858332211224482
E  0402544 ,Kimberley,124.48389336166736,-17.460558025718985
E  0402548 ,Kimberley,123.53523844065815,-17.325476783315786
E  0402549 ,Kimberley,125.14500040263921,-17.281667098615642
E  0402557 ,Kimberley,124.1238433945714,-16.718121124215035
E  0402561 ,Kimberley,125.1480728475773,-17.560469025627498
E  0402563 ,Kimberley,124.5916673874128,-16.97500068051559
E  0402566 ,Kimberley,125.98175525481041,-17.532212194145476
E  0402600 ,Kimberley,124.85344012607814,-17.399515043166016
E  0402606 ,Kimberley,124.56238922243209,-17.165086456035418
P  4502915 ,Pilbara,118.4655818204659,-20.442935773807747
P  4502929 ,Pilbara,122.16657991222549,-21.837387167600628
E  0402578 ,Kimberley,125.72212196131302,-17.633133070647084
E  0402579 ,Kimberley,125.66585348835649,-17.880975190909194
E  0402580 ,Kimberley,125.16310605665929,-17.278575800672236
E  0402581 ,Kimberley,125.11981033509011,-17.192762741241395
E  0402584 ,Kimberley,125.36028621164404,-17.36225546523263
P  4502954 ,Pilbara,119.75630326504063,-21.159779920103617
E  0402585 ,Kimberley,124.99881674850211,-17.10547117716874
E  0402862 ,Kimberley,124.19166768296256,-16.658333962166473
E  0402607 ,Kimberley,124.62023546395024,-17.092857172038727
E  0402608 ,Kimberley,124.21458945809695,-16.793754538410695
E  0402611 ,Kimberley,124.84062816306455,-17.119791073919306
E  0402613 ,Kimberley,125.63633124217715,-17.81785552568523
E  0402615 ,Kimberley,124.84083809319318,-17.3575059199286
E  0402622 ,Kimberley,125.11272261613173,-17.41448212868745
P  4502955 ,Pilbara,119.75186070941739,-21.1784388896135
P  4502956 ,Pilbara,119.75848433192921,-21.194516027042702
E  0402623 ,Kimberley,124.50735790112205,-17.1221333757136
E  0402637 ,Kimberley,125.94167836002782,-18.49798834241699
E  0402646 ,Kimberley,124.65446998912705,-17.22992064559841
E  0402648 ,Kimberley,124.83499717818967,-16.965662834988898
E  0402649 ,Kimberley,124.93177685873245,-17.002610203285858
E  0402650 ,Kimberley,125.10166435074933,-17.128335396176144
E  0402651 ,Kimberley,124.92461352313576,-17.07024858440501
E  0402653 ,Kimberley,124.97789564557903,-17.4018138993745
E  0402656 ,Kimberley,125.66643740473708,-18.091215721653775
E  0402657 ,Kimberley,125.85203089624046,-18.31419217120514
E  0402664 ,Kimberley,124.6239576036316,-17.159371924958492
